date,brand,category,use_case,model_provider,total_distance,raw_json,run_id,type,rank,vector_scores,vector_weights,sources,vector_details
2026-01-20,Hoka,Trail Running Shoes,Muddy 15K,OpenAI,4.69,"{""Durability"": 8, ""Comfort"": 9, ""Traction"": 7, ""Weight"": 8, ""Water_Resistance"": 6, ""Total_Distance"": 4.69}",,,,,,,
2026-01-20,Hoka,Trail Running Shoes,Muddy 15K,OpenAI,6.24,,2026-01-20_Hoka_OpenAI,Target,10.0,"{""Durability"": 7, ""Grip"": 7, ""Comfort"": 9, ""Water Resistance"": 6, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Salomon,Trail Running Shoes,Muddy 15K,OpenAI,4.36,,2026-01-20_Hoka_OpenAI,Competitor,1.0,"{""Durability"": 9, ""Grip"": 9, ""Comfort"": 8, ""Water Resistance"": 8, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Brooks,Trail Running Shoes,Muddy 15K,OpenAI,4.69,,2026-01-20_Hoka_OpenAI,Competitor,2.0,"{""Durability"": 8, ""Grip"": 8, ""Comfort"": 9, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,La Sportiva,Trail Running Shoes,Muddy 15K,OpenAI,4.9,,2026-01-20_Hoka_OpenAI,Competitor,3.0,"{""Durability"": 9, ""Grip"": 9, ""Comfort"": 7, ""Water Resistance"": 8, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Altra,Trail Running Shoes,Muddy 15K,OpenAI,4.69,,2026-01-20_Hoka_OpenAI,Competitor,4.0,"{""Durability"": 8, ""Grip"": 8, ""Comfort"": 9, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Inov-8,Trail Running Shoes,Muddy 15K,OpenAI,5.2,,2026-01-20_Hoka_OpenAI,Competitor,5.0,"{""Durability"": 8, ""Grip"": 9, ""Comfort"": 7, ""Water Resistance"": 8, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Nike,Trail Running Shoes,Muddy 15K,OpenAI,5.48,,2026-01-20_Hoka_OpenAI,Competitor,6.0,"{""Durability"": 7, ""Grip"": 8, ""Comfort"": 8, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Adidas,Trail Running Shoes,Muddy 15K,OpenAI,5.92,,2026-01-20_Hoka_OpenAI,Competitor,7.0,"{""Durability"": 7, ""Grip"": 8, ""Comfort"": 8, ""Water Resistance"": 7, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Merrell,Trail Running Shoes,Muddy 15K,OpenAI,5.92,,2026-01-20_Hoka_OpenAI,Competitor,8.0,"{""Durability"": 8, ""Grip"": 7, ""Comfort"": 8, ""Water Resistance"": 7, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Saucony,Trail Running Shoes,Muddy 15K,OpenAI,5.92,,2026-01-20_Hoka_OpenAI,Competitor,9.0,"{""Durability"": 7, ""Grip"": 8, ""Comfort"": 8, ""Water Resistance"": 7, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Hoka,Trail Running Shoes,Muddy 15K,OpenAI,5.2,,2026-01-20_Hoka_OpenAI,Target,4.0,"{""Durability"": 8, ""Grip"": 8, ""Comfort"": 9, ""Water Resistance"": 7, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Salomon,Trail Running Shoes,Muddy 15K,OpenAI,4.36,,2026-01-20_Hoka_OpenAI,Competitor,1.0,"{""Durability"": 9, ""Grip"": 9, ""Comfort"": 8, ""Water Resistance"": 8, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,La Sportiva,Trail Running Shoes,Muddy 15K,OpenAI,4.69,,2026-01-20_Hoka_OpenAI,Competitor,2.0,"{""Durability"": 8, ""Grip"": 9, ""Comfort"": 7, ""Water Resistance"": 8, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Altra,Trail Running Shoes,Muddy 15K,OpenAI,5.2,,2026-01-20_Hoka_OpenAI,Competitor,3.0,"{""Durability"": 7, ""Grip"": 8, ""Comfort"": 9, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Brooks,Trail Running Shoes,Muddy 15K,OpenAI,5.48,,2026-01-20_Hoka_OpenAI,Competitor,4.0,"{""Durability"": 8, ""Grip"": 7, ""Comfort"": 8, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Inov-8,Trail Running Shoes,Muddy 15K,OpenAI,5.66,,2026-01-20_Hoka_OpenAI,Competitor,5.0,"{""Durability"": 7, ""Grip"": 9, ""Comfort"": 7, ""Water Resistance"": 8, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Nike,Trail Running Shoes,Muddy 15K,OpenAI,6.24,,2026-01-20_Hoka_OpenAI,Competitor,6.0,"{""Durability"": 7, ""Grip"": 7, ""Comfort"": 8, ""Water Resistance"": 6, ""Weight"": 9}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Adidas,Trail Running Shoes,Muddy 15K,OpenAI,5.92,,2026-01-20_Hoka_OpenAI,Competitor,7.0,"{""Durability"": 7, ""Grip"": 8, ""Comfort"": 7, ""Water Resistance"": 7, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Merrell,Trail Running Shoes,Muddy 15K,OpenAI,6.32,,2026-01-20_Hoka_OpenAI,Competitor,8.0,"{""Durability"": 8, ""Grip"": 7, ""Comfort"": 7, ""Water Resistance"": 7, ""Weight"": 7}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
2026-01-20,Saucony,Trail Running Shoes,Muddy 15K,OpenAI,6.48,,2026-01-20_Hoka_OpenAI,Competitor,9.0,"{""Durability"": 7, ""Grip"": 7, ""Comfort"": 8, ""Water Resistance"": 6, ""Weight"": 8}","{""Durability"": 90, ""Grip"": 85, ""Comfort"": 80, ""Water Resistance"": 75, ""Weight"": 70}","[""runnersworld.com"", ""trailrunnermag.com""]",
